Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
MAR,Marriott International,293,Hospitality,Bethesda,Maryland,Montgomery County,121000,4.1,4.1
FE,FirstEnergy,294,Energy: Electric,Akron,Ohio,Summit County,12153,3.5,3.8
BWA,BorgWarner,295,Automotive,Auburn Hills,Michigan,Oakland County,50000,3.8,3.9
RSG,Republic Services,297,Waste Management,Phoenix,Arizona,Maricopa County,35000,3.1,3.5
HSIC,Henry Schein,298,Health Services,Melville,New York,Suffolk County,19000,3.6,4.1
EXPD,Expeditors Intl. of Washington,299,Logistics,Seattle,Washington,King County,17400,3.6,3.5
ETR,Entergy,300,Energy: Electric,New Orleans,Louisiana,Orleans Parish,13504,3.7,3.7
AAP,Advance Auto Parts,301,Automotive,Raleigh,North Carolina,Wake County,68000,3.4,3.4
AIZ,Assurant,302,Insurance,New York City,New York,New York County,14250,3.5,3.7
LRCX,Lam Research,304,Hardware,Fremont,California,Alameda County,14100,3.7,4.2
BSX,Boston Scientific,305,Medical Equipment,Marlborough,Massachusetts,Middlesex County,36000,3.9,4.2
ATUS,Altice USA,306,Telecommunications,Long Island City,New York,Nassau County,8900,3.4,3.1
NSC,Norfolk Southern,307,Transportation,Atlanta,Georgia,Cobb County,20156,2.8,2.2
SAH,Sonic Automotive,308,Automotive,Charlotte,North Carolina,Mecklenburg County,9750,3.4,3.5
AMD,Advanced Micro Devices,309,Hardware,Santa Clara,California,Santa Clara County,15500,3.8,4.2
X,United States Steel,310,Metals,Pittsburgh,Pennsylvania,Allegheny County,23350,3.4,3.5
MKL,Markel,311,Insurance,Richmond,Virginia,Henrico County,17400,3.6,3.8
ODP,ODP,312,Retail,Boca Raton,Florida,Palm Beach County,38000,3.2,3.2
AES,AES,313,Energy,Arlington,Virginia,Arlington County,8000,4,4.3
TAP.A,Molson Coors Beverage,314,Beverages,Chicago,Illinois,Cook County,17700,3.8,3.8
JBHT,JB Hunt Transport Services,315,Transportation,Lowell,Arkansas,Benton County,29056,3.3,3.7
KKR,KKR,316,Financial Services,New York City,New York,New York County,1600,3.7,4.3
HRL,Hormel Foods,317,Food,Austin,Minnesota,Mower County,20000,3.6,3.7
PEG,Public Services Enterprise Group,318,Utilites,Newark,New Jersey,Essex County,13000,4.3,4
STLD,Steel Dynamics,319,Metals,Fort Wayne,Indiana,Allen County,9625,3.8,4
DKS,Dick's Sporting Goods,320,Retail,Coraopolis,Pennsylvania,Allegheny County,50100,3.4,3.8
MHK,Mohawk Industries,321,Conglomerate,Calhoun,Georgia,Gordon County,42100,3.5,3.5
MUSA,Murphy USA,322,Retail,El Dorado,Arkansas,Union County,15000,3.4,3.4
SQ,Block,323,Financial Services,San Francisco,California,San Francisco County,5477,3.5,4.2
DGX,Quest Diagnostics,324,Healthcare,Secaucus,New Jersey,Hudson County,47000,3.6,3.5
NWL,Newell Brands Inc.,325,Consumer Goods,Atlanta,Georgia,Cobb County,31000,3.5,3.4
BATRA,Liberty Media,326,Mass Media,Castle Rock,Colorado,Douglas County,84,4,4.5
HII,Huntington Ingalls Industries,327,Defense,Newport News,Virginia,Newport News city,40000,3.7,3.6
CQP,Cheniere Energy,328,Energy,Houston,Texas,Harris County,1530,3.9,3.9
SPTN,SpartanNash,329,Retail,Byron Center,Michigan,Kent County,14400,3.3,3.8
AA,Alcoa,330,Metals,Pittsburgh,Pennsylvania,Allegheny County,14600,3.9,3.8
AGCO,AGCO,331,Equipment,Duluth,Georgia,Gwinnett County,21000,3.8,3.9
VOYA,Voya Financial,332,Financial Services,New York City,New York,New York County,6000,3.4,3.8
NRG,NRG Energy,333,Energy: Electric,Houston,Texas,Harris County,4862,3.8,4
IPG,Interpublic Group,334,Advertising,New York City,New York,New York County,54000,3.8,4
CPB,Campbell Soup,335,Food,Camden,New Jersey,Camden County,19000,3.8,3.8
LUV,Southwest Airlines,336,Airline,Dallas ,Texas,Dallas County,54448,4.3,4.3
NWSA,News Corp.,337,Mass Media,New York City,New York,New York County,24000,3.8,3.5
ES,Eversource Energy,338,Utility,Hartford,Connecticut,Hartford County,8100,3.6,3.9
Y,Alleghany,339,Holding Company,New York City,New York,New York County,4402,3.6,4
APD,Air Products & Chemicals,340,Chemicals,Allentown,Pennsylvania,Lehigh County,19275,3.8,4
CNP,CenterPoint Energy,342,Energy,Houston,Texas,Harris County,8000,3.9,3.5
RS,Reliance Steel & Aluminum,343,Metals,Los Angeles,California,Los Angeles County,12800,4,4.1
EME,EMCOR Group,344,Construction,Norwalk,Connecticut,Fairfield County,33000,3.2,3.7
