Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Bellingham, WA",Washington,2019,95.9,,8.1,10.7,16.5,,3.9,8.5,,10.8,,18.5
"Bend, OR",Oregon,2019,87.1,,7.2,5.7,16.2,1.8,4.9,10.5,14.6,13.6,3.1,9.6
"Billings, MT",Montana,2019,85.6,,,,20.5,,,8.5,15.5,12.1,,9.6
"Binghamton, NY",New York,2019,103.2,,4.2,11.1,18.7,1.5,3.5,9.1,17.4,10.4,5.5,22
"Birmingham-Hoover, AL",Alabama,2019,546.1,2.8,29.6,39.4,108.3,7.5,42.1,69.9,75.9,53.1,31.5,86
"Bismarck, ND",North Dakota,2019,72.8,,4.8,1.8,14.1,0.8,3.5,7.6,14.3,7.5,2.9,15.6
"Blacksburg-Christiansburg, VA",Virginia,2019,78.5,,,,,,,,,,,24.8
"Bloomington, IL",Illinois,2019,92.6,,2.9,3.7,14.1,0.5,19.7,9.8,10.9,11,3.5,16.6
"Bloomington, IN",Indiana,2019,79,,3,9.6,9.9,1,2.9,5.5,10.7,8.8,2.5,25
"Bloomsburg-Berwick, PA",Pennsylvania,2019,42.8,,1.2,5.3,6.3,,,4.5,11.8,3.6,,6.1
"Boise City, ID",Idaho,2019,345.3,,26.6,29.3,65.7,3.9,19.4,51.7,51.7,36.2,12.6,48.4
"Boulder, CO",Colorado,2019,199,,5.9,19.9,25.9,8.5,7.3,37.6,26.5,21.4,6.3,39.7
"Bowling Green, KY",Kentucky,2019,77.2,,3.4,12.9,14,,,9.6,11.2,9.2,,11.8
"Bremerton-Silverdale-Port Orchard, WA",Washington,2019,95.3,,5.2,2.9,13.9,,,8.6,,9.9,,33.8
"Brownsville-Harlingen, TX",Texas,2019,144.7,,3.1,6,25.7,0.7,5,12.5,41.9,16.6,3.1,30
"Brunswick, GA",Georgia,2019,44,,,,8.4,,,,,,,8.8
